id,name,length_seconds,genre_id,link
1,Mi Gente (Official Video),186,1,https://www.youtube.com/watch?v=wnJ6LuUFpMo
2,Con Calma - Daddy Yankee,194,1,https://www.youtube.com/watch?v=bNTRIdraX8c
3,BAMBOLA (Official Video),214,2,https://www.youtube.com/watch?v=NMvMR-jNSKg
4,Get Down (You're The One For Me),233,3,https://www.youtube.com/watch?v=0LSYuZRSGcY
5,The Call,241,3,https://www.youtube.com/watch?v=wMOkm57vu0k
6,Everybody,247,3,https://www.youtube.com/watch?v=POq2AznJO1Q
7,All About That Bass,190,3,https://www.youtube.com/watch?v=7PCkvCPvDXk
8,Better When I'm Dancin',177,3,https://www.youtube.com/watch?v=pkCyfBibIbI
9,Me Too,183,3,https://www.youtube.com/watch?v=qDRORgoZxZU
10,NO,223,3,https://www.youtube.com/watch?v=cMTAUr3Nm6I
11,CAN'T STOP THE FEELING! (from dreamworks animation's trolls - official video),286,4,https://www.youtube.com/watch?v=ru0K8uYEZWw
12,No Excuses,156,3,https://www.youtube.com/watch?v=kton-qrKNLc
13,Calypso,264,1,https://www.youtube.com/watch?v=Hnj_EMDUfjY
14,Finesse (Remix) (feat. Cardi B] [Official Video],223,3,https://www.youtube.com/watch?v=LsoLEjrDogU
15,24K Magic (Official Video),227,3,https://www.youtube.com/watch?v=UqyT8IEBkvY
16,Runaway Baby (Official Audio Video),148,3,https://www.youtube.com/watch?v=CbE_fVjHdCY
17,Uptown Funk (Official Video) ft. Bruno Mars,271,3,https://www.youtube.com/watch?v=OPf0YbXqDm0
18,Robarte un Beso (Official Video),198,1,https://www.youtube.com/watch?v=Mtau4v6foHA&list=PLlPdY0XY7cJCZarpH1wUqkHN7-P0oCAxM&index=42&t=0s
19,7 rings (Official Video),185,3,https://www.youtube.com/watch?v=QYh6mYIJG2Y&list=PLyGe4FQFY6FII0d14c3njPjXVXyOePKD4&index=10&t=0s&app=desktop
20,A Vida (que a gentle levar),205,1,https://www.youtube.com/watch?v=W50nF40cntc
21,Locked Out Of Heaven (Official Video),235,3,https://www.youtube.com/watch?v=e-fA-gBCkj0
22,Taki Taki (Official Music Video),232,3,https://www.youtube.com/watch?v=ixkoVwKQaJg&list=RD4Ojcjw2yYC0&index=22
23,Pégate (Live),225,1,https://www.youtube.com/watch?v=1G2-r-5ZwnY
24,Swish Swish (Official) ft. Nicki Minaj,385,3,https://www.youtube.com/watch?v=iGk5fR-t5AU
25,Shape Of You,321,3,https://www.youtube.com/watch?v=Kl5B6MBAntI
26,Adrenalina (Official Video),268,1,https://www.youtube.com/watch?v=ME2Hufquz0k
27,Kiss The Sky (Lyrics),229,3,https://www.youtube.com/watch?v=FHNF4zIJ-Mk
28,Cheap Thrills ( Lyrics ),208,3,https://www.youtube.com/watch?v=JesZWS0att8
29,Bailando ft. Luan Santana (Portuguese Version),258,1,https://www.youtube.com/watch?v=rhEqzW5WtbE
30,Get Lucky (Album Version Video),366,3,https://www.youtube.com/watch?v=XkeIwhKIi84
31,Human (Official Music Video),260,3,https://www.youtube.com/watch?v=RIZdjT1472Y
32,Hush Hush I Will Survive Remix,251,3,https://www.youtube.com/watch?v=-6LQIYUBDs8
33,Flashdance - She Is A Maniac,250,4,https://www.youtube.com/watch?v=8FftI0oRg2M
34,Fireball ft. John Ryan (Official Video),242,3,https://www.youtube.com/watch?v=HMqgVXSvwGo
35,Chantaje (Official Video) ft. Maluma,200,1,https://www.youtube.com/watch?v=6Mgqbai3fKo
36,Vente Pa' Ca ft. Maluma,252,1,https://www.youtube.com/watch?v=kVr4jyOaWj8
37,La Bomba (Spanish)(Official Music Video - Remastered),226,1,https://www.youtube.com/watch?v=rf2jwgSXJVM
38,Show Me How You Burlesque,181,3,https://www.youtube.com/watch?v=9V_6Kn9KGt8
39,"SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion",233,1,https://www.youtube.com/watch?v=9sg-A-eS6Ig
40,DUELE EL CORAZON ft. Wisin,240,1,https://www.youtube.com/watch?v=xFutjZEBTXs
41,EL BAÑO ft. Bad Bunny,253,1,https://www.youtube.com/watch?v=gu9_m0vm7fM
42,Bassa Sababa (Official Music Video),187,5,https://www.youtube.com/watch?v=jV1sjm9Lz_Q
43,TOY - Israel - Official Music Video - Eurovision 2018,186,5,https://www.youtube.com/watch?v=CziHrYYSyPc
44,Sweet but Psycho [Official Music Video],208,3,https://www.youtube.com/watch?v=WXBHCQYxwr0
45,"Instruction ft. Demi Lovato, Stefflon Don",178,3,https://www.youtube.com/watch?v=MQXLpSl26q4
46,Rockabye (feat. Sean Paul Anne-Marie) [Official Video],254,3,https://www.youtube.com/watch?v=papuvlVeZg8
47,La Cintura,218,1,https://www.youtube.com/watch?v=oRMAgjly2UQ
48,"Blurred Lines ft. T.I., Pharrell (Official Music Video)",272,3,https://www.youtube.com/watch?v=yyDUC1LUXSU
49,Shake It Off,242,3,https://www.youtube.com/watch?v=nfWlot6h_JM
50,Treasure (Official Video),192,3,https://www.youtube.com/watch?v=nPvuNsRccVw
51,Hustle (Lyric Video),177,3,https://www.youtube.com/watch?v=Hz0K7VoAIts
52,Let Me Love You [Lyric Video],207,3,https://www.youtube.com/watch?v=SMs0GnYze34
53,I'm Still Standing (SING Movie Soundtrack),182,4,https://www.youtube.com/watch?v=nYCOA2jQ-XA
54,Save The Last Dance For Me [Official Music Video],228,6,https://www.youtube.com/watch?v=LAjfB0XfjkA
55,Take On Me - Zumba Version (Samba),272,3,https://www.youtube.com/watch?v=cX6Yf4kAl-s
56,Solo (feat. Demi Lovato) [Official Video],224,3,https://www.youtube.com/watch?v=8JnfIa84TnU
57,This couple,197,5,https://www.youtube.com/watch?v=4p-qiSENCeY
58,Blame It On the Boogie (Official Video),213,3,https://www.youtube.com/watch?app=desktop&v=nqxVMLVe62U
59,Ojos Así,236,6,https://www.youtube.com/watch?v=k8wP_4vp4Vs
60,MOVE TO MIAMI Fest. Pitbull | Carolina B,188,1,https://www.youtube.com/watch?v=e4Rtpb40oPI
61,Sofia,214,1,https://www.youtube.com/watch?v=qaZ0oAh4evU
62,I Don't Care [Official Lyric Video],218,3,https://www.youtube.com/watch?v=CCSGelSCPGE
63,Soldi,201,3,https://www.youtube.com/watch?v=22lISUXgSUw
64,End Of Time Merengue Remix,236,3,https://www.youtube.com/watch?v=or2_UkVRSXE
65,La Gozadera,205,1,https://www.youtube.com/watch?v=mxsQ-7uBuFQ
66,Limbo (Video Oficial),255,1,https://www.youtube.com/watch?v=6BTjG-dhf5s
67,Feel This Moment (Official Video),230,3,https://www.youtube.com/watch?v=5jlI4uzZGjU
68,Bailar feat. Elvis Crespo,161,1,https://www.youtube.com/watch?v=5OEkVx06oxU
69,"Shake Senora (Official Audio) ft. T-Pain, Sean Paul",216,1,https://www.youtube.com/watch?v=AmuKdoe8MvI
70,La Vie Est Belle  (Audio Officiel),194,2,https://www.youtube.com/watch?v=wLyvrSqDMY0
71,Say Hey I Love You,232,6,https://www.youtube.com/watch?v=A0fYKguHFcQ
72,Na Ponta Do Pé   Axé,164,1,https://www.youtube.com/watch?v=OxuAFZ-CMkM
73,This Is What You Came For (Official Video) ft. Rihanna,240,3,https://www.youtube.com/watch?v=kOkQ4T5WO9E
74,Pégate,198,1,https://www.youtube.com/watch?v=tV_vkUAM_6o
75,Dear Future Husband,188,3,https://www.youtube.com/watch?v=j9zj3FYdskk
76,Juice (Official Video),201,3,https://www.youtube.com/watch?v=XaCrQL_8eMY
77,Faith (From Sing),161,4,https://www.youtube.com/watch?v=xBX0MkPFERE
78,WE DON'T TALK ANYMORE (SALSA),228,3,https://www.youtube.com/watch?v=-aqmb10uqQI
79,Pégate Más,238,1,https://www.youtube.com/watch?v=Ob9dl7Sy2Cg
80,Copacabana,219,7,https://www.youtube.com/watch?v=5Ay2wbcO0RQ
81,So beautiful to you,221,5,https://www.youtube.com/watch?v=B0TGYQc990Q
82,Chica Loca,189,1,https://www.youtube.com/watch?v=UIdz4HkiQ80
83,Fonseca,238,1,https://www.youtube.com/watch?v=INb2zgEf8fk
84,One Kiss,224,3,https://www.youtube.com/watch?v=DkeiKbqa02g
85,Señorita,192,1,https://www.youtube.com/watch?v=23k5062WrDw
86,New Rules,225,3,https://www.youtube.com/watch?v=k2qgadSvNyU
87,Barrio,183,3,https://www.youtube.com/watch?v=7Fmpz-wIkPY
88,HP (Letra),185,1,https://www.youtube.com/watch?v=nBo7Tpz-WzQ
89,DATE LA VUELTA,220,1,https://www.youtube.com/watch?v=AAwHw6PkPv4
90,Dance Again (Lyric Video) ft. Pitbull,237,3,https://www.youtube.com/watch?v=5KxII6AJYZY
91,PO ZE LO EUROPE,205,5,https://www.youtube.com/watch?v=UxbGdh0ekac
92,Cuban Pete,132,4,https://www.youtube.com/watch?v=eTI8hgWJh-I
93,Bella Bella (Lyrics),173,1,https://www.youtube.comhttps://www.youtube.com/watch?v=-4yayIg7GG4
94,Take You Dancing (Lyrics),189,3,https://www.youtube.com/watch?v=S4wS-YonJM8
95,"""C'wow"" ZUMBA WARM UP",186,6,https://www.youtube.com/watch?v=thpaaa6DW3c
96,Greased Lightning - lyrics,194,4,https://www.youtube.com/watch?v=RzJ9Ds6Nrxs
97,Felices los 4 ((Urban Version)[Audio]),225,1,https://www.youtube.com/watch?v=hM5lO2PWnGk
98,Wisin - Vacaciones (Cover Audio),240,1,https://www.youtube.com/watch?v=o6shmGIEsps
99,Scent Of A Woman,137,7,https://www.youtube.com/watch?v=ANwyRfqo6kI
100,Kings & Queens [Official Music Video],162,3,https://www.youtube.com/watch?v=jH1RNk8954Q
101,Baby feat. Marina & Luis Fonsi (Lyrics),207,3,https://www.youtube.com/watch?v=pm1pSzJS9sk
102,Naked,212,3,https://www.youtube.com/watch?v=mPu493Zi_08
103,Jerusalema,189,6,https://www.youtube.com/watch?v=BGrIW18I7oU
104,Think (Freedom),194,3,https://www.youtube.com/watch?v=6mSn4-szhus
105,Lo yotze lemesibot,246,5,https://www.youtube.com/watch?v=x3Cdx7FMxho
106,MAMACITA (Official Music Video),253,1,https://www.youtube.com/watch?v=4bP8wbt4SeA
107,HOY (Letra / Lyrics),210,1,https://www.youtube.com/watch?v=HAay4DZX67E
108,Bella Bella Signorina,212,3,https://www.youtube.com/watch?v=hSXsiSodEQU
109,"La Isla Bonita, Lyrics In Video",222,3,https://www.youtube.com/watch?v=VKKkQwa0TLs
110,YALLA BINA YALLA﻿,221,1,https://www.youtube.com/watch?v=dz0-GLr5yME
111,FIRST BE A WOMAN - (Lyrics),243,3,https://www.youtube.com/watch?v=cZ-Goc9KOnM
112,Fuego (Lyric Video) ft. Tainy,197,1,https://www.youtube.com/watch?v=WFX6pXtMRPo
113,They don't care about us (Salsa Version),224,3,https://www.youtube.com/watch?v=cfDp5O7Vi_k
114,Échame La Culpa,173,1,https://www.youtube.com/watch?v=TyHvyGVs42U
115,I'm So Excited,227,3,https://www.youtube.com/watch?v=8iwBM_YB1sE
116,Rak rotza lirkod,190,5,https://www.youtube.com/watch?v=h0SuqxOe1Bs
117,Love Never Felt So Good (Official Video),247,3,https://www.youtube.com/watch?v=oG08ukJPtR8
118,Sorry,205,3,https://www.youtube.com/watch?v=fRh_vgS2dFE
119,Dark Horse (Official) ft. Juicy J,225,3,https://www.youtube.com/watch?v=0KSOMA3QBU0
120,Rain On Me (Lyrics) feat. Ariana Grande,182,3,https://www.youtube.com/watch?v=-KVbfyVtoIU
121,Timber ft. Ke$ha (Official Video),214,1,https://www.youtube.com/watch?v=hHUbLv4ThOo
122,Mayores (Official Video),211,1,https://www.youtube.com/watch?v=GMFewiplIbw
123,Piensas (Dile La Verdad) (Audio) ft. Gente De Zona,223,1,https://www.youtube.com/watch?v=i8Ue1VXb95E
124,Despacito Ft Daddy Yankee Version 2,233,1,https://www.youtube.com/watch?v=TNDx_e6N7jM
125,Break My Heart (Lyrics),222,3,https://www.youtube.com/watch?v=Y6feSJsCxIw
126,Sexy and I Know It (Official Video),203,3,https://www.youtube.com/watch?v=wyx6JDQCslE
127,22 - Tini & Greeicy | Marlon Alves Dance MAs,159,1,https://www.youtube.com/watch?v=bN57-2vKqVc
128,Reste (Clip Officiel),234,3,https://www.youtube.com/watch?v=0Ev-6PYtI34
129,Lose Control (Lyric Video),167,3,https://www.youtube.com/watch?v=b7kxtIGaNpw
130,Swalla (Lyrics) feat. Nicki Minaj & Ty Dolla $ign,216,3,https://www.youtube.com/watch?v=5_FyWcjnlFw
131,If You Are A Man,201,5,https://www.youtube.com/watch?v=9on_1WpYvAY
